group_i,group_j,n_edges,n_positive,n_negative
Frontal-Parietal,Frontal-Parietal,0,0,0
Frontal-Parietal,Subcortical,2,2,0
Frontal-Parietal,Cingulate-Temporal,1,1,0
Frontal-Parietal,Visual,2,2,0
Frontal-Parietal,Limbic-Olfactory,2,2,0
Frontal-Parietal,Somatosensory-Cerebellum,4,4,0
Subcortical,Subcortical,0,0,0
Subcortical,Cingulate-Temporal,2,2,0
Subcortical,Visual,1,1,0
Subcortical,Limbic-Olfactory,8,8,0
Subcortical,Somatosensory-Cerebellum,6,6,0
Cingulate-Temporal,Cingulate-Temporal,0,0,0
Cingulate-Temporal,Visual,0,0,0
Cingulate-Temporal,Limbic-Olfactory,1,1,0
Cingulate-Temporal,Somatosensory-Cerebellum,2,2,0
Visual,Visual,0,0,0
Visual,Limbic-Olfactory,2,2,0
Visual,Somatosensory-Cerebellum,4,4,0
Limbic-Olfactory,Limbic-Olfactory,3,3,0
Limbic-Olfactory,Somatosensory-Cerebellum,5,5,0
Somatosensory-Cerebellum,Somatosensory-Cerebellum,1,1,0
