session,medication,n_trials,n_subjects,term,coef,se,z_stat,p_value
1,OFF,2846,18,Intercept,-0.13551274973407598,0.05889918012578197,-2.300757827947386,0.021405323401100573
1,OFF,2846,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS1]",0.11227210351285473,0.07965627703315224,1.4094570785190985,0.15870005650614494
1,OFF,2846,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS2]",0.10494205170783007,0.07920987922065893,1.3248606454188339,0.18521737581987774
1,OFF,2846,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS3]",0.08204746864250058,0.07914737857551254,1.036641643970825,0.29990289776283097
1,OFF,2846,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS4]",0.11848237612214432,0.07908543741273177,1.4981566771112038,0.13409254849272473
1,OFF,2846,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS5]",0.08040445413452105,0.07933553184233096,1.0134734370258516,0.3108340776935016
1,OFF,2846,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS6]",0.11923318713875118,0.07946277208765379,1.500491160907745,0.13348722143865885
1,OFF,2846,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS7]",0.22723005316273653,0.07914807566923597,2.870948551072082,0.004092421261168644
1,OFF,2846,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS8]",0.110881576084957,0.07914737839347843,1.400950711642186,0.16122881260107413
1,OFF,2846,18,C(run)[T.2],0.05950458859564389,0.03741921146140688,1.5902149262823255,0.11178636712395157
1,OFF,2846,18,Group Var,3.518204784687209e-08,,,
2,ON,2684,18,Intercept,0.04706715654270136,0.06026687804913138,0.780978840555351,0.43481493975591723
2,ON,2684,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS1]",-0.07033451031739092,0.08152415019713365,-0.8627444769103997,0.38827797252393037
2,ON,2684,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS2]",-0.03902037156867544,0.08110243558454885,-0.48112453451532794,0.6304279917701425
2,ON,2684,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS3]",-0.11350307159900316,0.08165783968159496,-1.3899837669179225,0.16453380677464158
2,ON,2684,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS4]",-0.12348851843793197,0.08131422136159316,-1.5186583154845141,0.12884852420591394
2,ON,2684,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS5]",-0.0673652410647737,0.0808369725636407,-0.8333469070942622,0.40464910876177107
2,ON,2684,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS6]",-0.03540274994392976,0.08110243545480596,-0.4365189497133882,0.6624602535102331
2,ON,2684,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS7]",-0.01772715221499993,0.08166759152216264,-0.2170647117735706,0.8281579142309579
2,ON,2684,18,"C(condition_label, Treatment(reference=""sham""))[T.GVS8]",0.08657822202928546,0.08166760871035202,1.0601292654025143,0.2890857954495689
2,ON,2684,18,C(run)[T.2],-0.009991531743658043,0.03859349961887761,-0.258891570920684,0.7957189019594995
2,ON,2684,18,Group Var,1.0436119482618116e-10,,,
