analysis,unit,contrast,n,mean_delta_inv_rt,median_delta_inv_rt,sd_delta_inv_rt,sem_delta_inv_rt,ci95_low,ci95_high,cohen_dz,t_statistic,p_ttest_two_sided,wilcoxon_statistic,p_wilcoxon_two_sided
primary_subject_collapsed_across_medication_and_gvs,subject,high_minus_low,18,-0.007245480366606139,-0.007953574676202418,0.009584618843933801,0.002259116326544653,-0.012011799184487318,-0.0024791615487249593,-0.7559487220706617,-3.2072188056328175,0.005166668042264197,24.0,0.0055999755859375
secondary_session_collapsed_across_gvs,subject_medication_session,high_minus_low,35,-0.0075243670800641,-0.0069259259259259465,0.015736594381947883,0.0026599699393680246,-0.012930076384294952,-0.002118657775833248,-0.4781445653003309,-2.8287413961722416,0.0077822093664422845,137.0,0.0028328304761089385
exploratory_session_gvs,subject_medication_gvs,high_minus_low,315,-0.007560607205845306,-0.007888888888888834,0.03920732763044025,0.0022090826508934336,-0.011907082690490692,-0.0032141317211999204,-0.19283658598489412,-3.4225098833615477,0.0007026840468021605,18055.0,2.421977319626575e-05
secondary_off_sessions,subject_off_session,high_minus_low,18,-0.007774080367614668,-0.007635802469135811,0.018257581492320183,0.004303353227095203,-0.016853362043058817,0.0013052013078294804,-0.4258001187553091,-1.8065169084114976,0.08857172944267737,42.0,0.0599365234375
secondary_on_sessions,subject_on_session,high_minus_low,17,-0.0072599647755987925,-0.0067777777777777715,0.013111767217833315,0.0031800706575081036,-0.014001413414347467,-0.0005185161368501182,-0.5536984187550641,-2.282957065264608,0.0364451020826087,28.0,0.0201568603515625
exploratory_sham,subject_gvs,high_minus_low,18,-0.01908764848532006,-0.017305555555555602,0.03066421724291653,0.0072276253174145795,-0.034336604970742826,-0.0038386919998972934,-0.6224730386597208,-2.640929440452507,0.01716095264735257,29.0,0.01203155517578125
exploratory_gvs2,subject_gvs,high_minus_low,18,-0.006809130874572044,-0.008722222222222187,0.03239496649021807,0.00763556682718139,-0.022918768712145612,0.009300506963001526,-0.21019101460185544,-0.8917649506167158,0.3849675732910699,48.0,0.1083831787109375
exploratory_gvs3,subject_gvs,high_minus_low,18,-0.01045724919597469,-0.011335580065359507,0.015679084396675792,0.003695595633228547,-0.018254274432332556,-0.0026602239596168233,-0.6669553483742832,-2.829651897504551,0.011560203000092502,29.0,0.01203155517578125
exploratory_gvs4,subject_gvs,high_minus_low,18,-0.01217472836713033,-0.00490032679738564,0.05014426006488151,0.01181911544315317,-0.03711088224530361,0.012761425511042946,-0.24279405761252604,-1.0300879474176867,0.3174023947616854,70.0,0.522613525390625
exploratory_gvs5,subject_gvs,high_minus_low,18,0.001693534728706308,-0.002638888888888885,0.023221074443563153,0.005473259735160381,-0.009854033922062171,0.013241103379474789,0.07293093749052397,0.3094197627470503,0.7607626010409223,83.0,0.932281494140625
exploratory_gvs6,subject_gvs,high_minus_low,18,-0.0027779774872912035,-0.009194444444444422,0.02598259453370621,0.006124156262534728,-0.015698817771071603,0.010142862796489195,-0.10691686250529914,-0.4536098310041204,0.6558467073371332,69.0,0.49507904052734375
exploratory_gvs7,subject_gvs,high_minus_low,18,-0.0038592955700798848,-0.006777777777777827,0.024431037397217525,0.005758450738331551,-0.01600856464199677,0.008289973501837003,-0.15796691345245223,-0.6701968542320247,0.5117344907062283,57.0,0.22875213623046875
exploratory_gvs8,subject_gvs,high_minus_low,18,-0.005897837311562789,-0.009951159951159971,0.025950361192231666,0.006116558791089077,-0.018802648331735013,0.007006973708609433,-0.22727380431715638,-0.9642410893123543,0.3484421274574565,59.0,0.2645263671875
exploratory_gvs9,subject_gvs,high_minus_low,18,-0.005717141300964824,-0.011722222222222217,0.02384209803346139,0.005619636399058333,-0.017573537717456456,0.0061392551155268075,-0.2397918712078549,-1.0173507492269125,0.3232477336408558,58.0,0.24620819091796875
reward_delta_medication_interaction_on_minus_off,subject,(high_minus_low_ON) - (high_minus_low_OFF),17,0.001015713638331626,0.001062808641975277,0.02581620859742826,0.006261350288245616,-0.012257756017999263,0.014289183294662514,0.03934402817123226,0.16221958388726745,0.8731639093806124,67.0,0.677703857421875
