subject,n_low,n_high,mean_rt_low,mean_rt_high,median_rt_low,median_rt_high,min_rt_low,max_rt_low,min_rt_high,max_rt_high,sem_rt_low,sem_rt_high,delta_rt_high_minus_low,t_statistic_welch,p_ttest_welch_two_sided,significance
PSPD001,153,159,0.3446993464052288,0.3261132075471699,0.335,0.321,0.251,0.597,0.076,0.516,0.0048588883951803255,0.004060416483356929,-0.01858613885805893,-2.9352145571309887,0.0035921516778992264,**
PSPD002,162,161,0.35471604938271606,0.3505714285714286,0.342,0.348,0.27,0.685,0.2419999999999999,0.473,0.004766525574877592,0.0034443864029737193,-0.004144620811287469,-0.7047740929093079,0.4815111904562027,
PSPD003,156,156,0.3273910256410256,0.3291858974358974,0.315,0.3125,0.03,0.798,0.216,0.72,0.006365335803707273,0.005371668505988455,0.0017948717948717552,0.21549654717528838,0.8295259193110535,
PSPD004,145,161,0.33835862068965517,0.3278695652173913,0.322,0.319,0.133,0.8320000000000001,0.043,0.536,0.006033262492932599,0.004019209797211992,-0.010489055472263864,-1.4468790854830942,0.14915903821480214,
PSPD007,155,160,0.4924451612903226,0.48809375,0.47,0.4645,0.319,1.022,0.343,0.971,0.008512919981638594,0.00784992787730258,-0.0043514112903226265,-0.3757768635210467,0.707339727831282,
PSPD009,160,161,0.37711249999999996,0.3595465838509317,0.38049999999999995,0.35,0.278,0.722,0.197,0.545,0.004906804314117694,0.004331659328668366,-0.017565916149068272,-2.683774787150933,0.007665728351215219,**
PSPD010,161,162,0.3515776397515528,0.3477901234567901,0.339,0.3355,0.294,0.506,0.275,0.529,0.0031147395501362014,0.003312315056392067,-0.003787516294762705,-0.8330142020891332,0.40545818337752804,
PSPD011,144,135,0.4715486111111111,0.4619629629629629,0.446,0.442,0.305,1.661,0.304,0.8679999999999999,0.011565461090468925,0.008275850883105845,-0.009585648148148218,-0.6740275530349128,0.5009032314554036,
PSPD012,137,130,0.30405109489051096,0.3141538461538462,0.307,0.3115,0.017,0.503,0.02,0.4339999999999999,0.005772712355546206,0.0047101998146989645,0.010102751263335208,1.3559800583808903,0.1762948627842111,
PSPD013,162,162,0.3614691358024691,0.35461728395061726,0.36,0.3455,0.288,0.532,0.274,0.463,0.003015439309697001,0.002997623676111848,-0.006851851851851831,-1.6114814211267274,0.10805459002262904,
PSPD014,162,162,0.3302098765432099,0.3282283950617284,0.326,0.3215,0.261,0.52,0.256,0.424,0.002983512088630577,0.0026932946283629885,-0.001981481481481473,-0.492985462498625,0.6223623676975999,
PSPD015,156,157,0.44491025641025633,0.4179171974522294,0.3975,0.39,0.318,3.0530000000000004,0.305,0.718,0.01826063797457845,0.006513349912055801,-0.02699305895802695,-1.3922928684140572,0.16542897386968894,
PSPD017,81,81,0.35516049382716053,0.3559135802469136,0.345,0.339,0.276,0.513,0.299,0.635,0.005343608643069308,0.006353190059275659,0.0007530864197530796,0.09071541163242754,0.927835520103138,
PSPD018,137,132,0.4825401459854015,0.4734848484848485,0.472,0.4575,0.31,1.266,0.295,0.911,0.008725059619925087,0.008067166033108936,-0.009055297500553006,-0.7620376064659811,0.44671255721497694,
PSPD020,160,162,0.36817500000000003,0.3502345679012346,0.362,0.3435,0.281,0.528,0.279,0.453,0.003489579613721851,0.0027786133071888456,-0.017940432098765446,-4.021885825615445,7.290327636263311e-05,***
PSPD023,162,161,0.3880617283950617,0.3770248447204969,0.37949999999999995,0.37,0.298,0.536,0.296,0.654,0.0035398818976410187,0.00375010300387065,-0.01103688367456479,-2.1401998826389,0.03309479479856522,*
PSPD024,154,154,0.33456493506493507,0.32449350649350645,0.3355,0.3195,0.049,0.529,0.031,0.593,0.005671996215462236,0.005176358790493739,-0.01007142857142862,-1.3115637076878779,0.19065875181936207,
PSPD028,144,146,0.4993888888888888,0.5087602739726027,0.4605,0.48349999999999993,0.343,1.147,0.311,1.018,0.011350623171364338,0.009760878914533139,0.009371385083713879,0.6259963576486633,0.5318252897798945,
